Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
Malaysia,2022.0,33871431,1.03,103.1,1.75,76.1,8.1,1.05,43.9,32.6,11.3,31.0,31.1,30.9
Mexico,2022.0,129150971,0.51,66.4,1.68,72.3,13.6,0.96,47.4,35.8,11.6,30.4,31.8,28.9
Netherlands,2022.0,17601564,0.57,519.3,1.61,81.5,4.3,0.99,54.9,23.7,31.2,42.3,43.5,41.0
New Zealand,2022.0,5053004,1.17,19.1,1.86,82.5,4.1,1.0,55.0,30.0,25.0,37.5,38.2,36.7
Nigeria,2022.0,225082083,2.53,247.1,4.62,61.3,86.0,1.02,79.7,73.7,6.0,19.0,19.2,18.7
Pakistan,2022.0,242923845,1.95,315.1,3.46,69.7,68.9,1.04,66.3,58.5,7.7,22.5,22.6,22.4
Peru,2022.0,32275736,0.51,25.2,2.2,68.9,13.9,0.96,52.3,40.0,12.3,29.9,30.8,29.0
Philippines,2022.0,114597229,1.6,384.3,2.78,70.1,28.6,1.0,56.6,48.3,8.4,25.2,25.8,24.7
Poland,2022.0,38699570,3.33,127.2,1.31,74.7,6.4,0.92,51.0,22.2,28.9,42.2,43.7,40.8
Portugal,2022.0,10242081,-0.2,112.0,1.43,81.5,3.1,0.9,53.0,20.0,33.1,45.6,47.4,43.6
Qatar,2022.0,2508182,1.04,216.5,1.9,79.8,9.3,3.36,16.8,15.2,1.6,34.1,28.1,35.4
Romania,2022.0,18519899,-1.09,80.6,1.63,75.8,6.9,0.94,60.3,25.2,35.0,44.7,46.1,43.2
Russia,2022.0,142183583,-0.47,8.7,1.51,71.8,8.4,0.87,51.1,25.8,25.3,41.2,43.9,38.6
Saudi Arabia,2022.0,35354380,1.63,16.4,1.92,76.7,14.0,1.3,38.8,33.3,5.5,31.6,28.6,33.8
Singapore,2022.0,5921231,0.92,8351.5,1.16,86.4,1.9,1.0,39.1,20.9,18.2,38.4,39.5,37.3
South Africa,2022.0,59150970,1.09,48.7,2.34,70.1,29.7,0.96,53.1,42.2,10.9,29.8,30.1,29.6
Sweden,2022.0,10483647,0.5,25.5,1.67,82.7,2.7,1.01,61.2,28.0,33.2,40.9,42.0,39.9
Switzerland,2022.0,8724310,0.8,218.1,1.58,83.7,3.6,0.99,53.2,23.0,30.2,43.8,44.6,43.1
Thailand,2022.0,69648117,0.23,136.3,1.54,77.7,8.7,0.95,42.9,23.1,19.8,40.6,41.7,39.4
Turkey,2022.0,83047706,0.67,107.9,1.93,76.2,22.2,1.01,46.0,32.8,13.1,33.2,33.7,32.6
UAE,2022.0,9915803,0.58,118.6,1.64,79.6,5.6,2.21,22.0,19.8,2.2,35.6,29.9,37.6
United Kingdom,2022.0,67791400,0.53,280.2,1.63,81.9,4.4,0.99,56.0,26.6,29.3,40.5,41.3,39.8
United States,2022.0,333271411,0.44,36.4,1.63,79.5,6.400000000000001,0.98,54.5,27.8,26.6,38.9,40.0,37.8
Vietnam,2022.0,103808319,0.97,334.8,2.05,75.5,19.0,1.01,45.2,34.4,10.9,32.2,33.3,31.2
Argentina,2023.0,45207044,0.21,16.5,1.43,76.8,9.8,0.99,52.0,32.7,19.3,33.8,35.0,32.7
Australia,2023.0,26461166,1.19,3.4,1.73,83.3,3.6,0.99,54.1,28.4,25.7,37.9,39.0,36.8
Austria,2023.0,9116209,0.36,110.6,1.33,81.8,4.0,0.95,52.7,21.7,31.1,44.2,45.2,43.2
Bangladesh,2023.0,167184465,0.91,1284.4,2.08,75.0,36.4,0.96,49.1,37.8,11.2,29.2,30.0,28.3
Belgium,2023.0,11841113,0.55,391.1,1.48,82.3,3.7,0.98,57.1,25.6,31.5,42.1,43.2,41.1
Brazil,2023.0,218689757,0.64,26.2,1.75,76.1,16.5,0.97,43.4,28.4,15.1,34.7,35.7,33.6
Canada,2023.0,38628008,0.71,4.2,1.44,83.0,5.2,0.99,56.0,24.1,31.9,42.3,43.6,41.1
Chile,2023.0,18895448,0.57,25.4,1.25,80.3,5.4,0.97,44.8,25.6,19.2,37.7,38.7,36.6
China,2023.0,1409294306,-0.17,151.1,1.06,77.3,7.9,1.04,44.3,24.0,20.4,39.9,41.1,38.7
Colombia,2023.0,49336454,0.54,47.5,1.94,74.9,13.8,0.96,50.0,33.7,16.3,32.4,33.6,31.2
Czech Republic,2023.0,10830412,0.1,140.2,1.74,78.3,3.2,0.97,56.9,24.8,32.2,43.9,45.4,42.5
Denmark,2023.0,5961534,0.86,140.5,1.54,81.3,3.6,0.99,57.2,24.9,32.3,42.3,43.4,41.1
Egypt,2023.0,109546720,1.59,110.0,2.76,74.7,20.3,1.06,65.9,57.0,8.9,24.1,24.1,24.1
Finland,2023.0,5546864,0.04,18.3,1.28,81.5,2.6,0.98,62.5,24.3,38.2,43.7,45.3,42.2
France,2023.0,68235759,0.21,106.5,1.9,82.5,4.2,0.96,64.4,28.8,35.6,42.4,44.0,40.9
Germany,2023.0,84220184,-0.12,241.5,1.58,81.7,3.8,0.98,58.8,21.8,37.0,46.7,48.2,45.4
Greece,2023.0,10497595,-0.35,80.4,1.4,81.7,4.1,0.96,59.6,22.4,37.2,46.2,47.9,44.3
Hungary,2023.0,9885834,-0.33,110.3,1.59,75.3,5.8,0.95,56.2,22.9,33.3,44.5,46.4,42.6
India,2023.0,1399179585,0.7,470.6,2.07,67.7,34.2,1.06,46.2,36.2,9.9,29.5,30.2,28.8
Indonesia,2023.0,279476346,0.76,154.3,1.99,73.3,23.0,1.0,46.8,35.6,11.3,31.2,32.0,30.5
Iraq,2023.0,41266109,1.94,94.4,3.17,73.5,23.0,1.01,63.5,57.6,5.9,22.1,22.4,21.7
Ireland,2023.0,5180761,1.09,75.2,1.72,82.2,3.5,0.98,52.8,29.1,23.7,39.8,40.2,39.4
Israel,2023.0,9256230,1.56,430.6,2.94,82.2,3.9,1.01,66.0,45.8,20.2,30.1,30.7,29.5
Italy,2023.0,61021855,-0.11,207.5,1.24,82.8,3.7,0.93,54.8,18.7,36.1,48.1,49.1,47.0
Japan,2023.0,123719238,-0.41,339.4,1.39,85.0,2.5,0.95,71.0,21.0,50.0,49.5,50.9,48.0
Kazakhstan,2023.0,20082154,0.9,7.4,2.59,73.0,9.9,0.94,59.1,44.4,14.8,31.7,33.5,29.9
South Korea,2023.0,51589095,-0.14,532.3,0.72,84.3,2.8,0.99,42.4,15.7,26.7,45.8,47.4,44.3
Malaysia,2023.0,34219975,1.01,104.1,1.74,76.4,7.9,1.05,44.1,32.4,11.7,31.4,31.5,31.3
Mexico,2023.0,129875529,0.61,66.8,1.73,73.5,13.8,0.96,46.6,34.8,11.8,30.6,32.3,28.9
Netherlands,2023.0,17694798,0.48,522.1,1.61,81.7,4.3,0.99,55.4,23.7,31.7,42.2,43.4,41.0
New Zealand,2023.0,5109702,1.06,19.3,1.86,82.7,4.1,1.0,55.4,29.8,25.6,37.7,38.4,36.9
Nigeria,2023.0,230842743,2.53,253.5,4.57,61.8,83.4,1.02,78.7,72.7,6.0,19.2,19.4,18.9
Pakistan,2023.0,247653551,1.91,321.3,3.39,70.0,67.2,1.04,65.5,57.6,7.9,22.7,22.8,22.6
Peru,2023.0,32440172,0.5,25.3,2.18,68.9,13.9,0.96,51.7,39.5,12.2,30.1,31.1,29.1
Philippines,2023.0,116434200,1.58,390.5,2.77,70.5,28.4,1.0,56.1,47.6,8.5,25.4,26.0,24.9
Poland,2023.0,39142267,-1.03,128.6,1.31,75.8,6.0,0.9,50.7,21.6,29.1,42.4,43.7,41.1
Portugal,2023.0,10223150,-0.17,111.8,1.44,81.7,3.0,0.9,53.4,19.7,33.7,46.0,47.9,44.0
Qatar,2023.0,2532104,0.86,218.5,1.9,80.0,9.0,3.34,17.0,15.3,1.7,34.2,28.1,35.5
